S.No,comments ,Label
HATE_1028,Anna .... Nee laanti vaale kavali .... tdpki,non-hate
HATE_1029,Babulake Baabu Super Star Mahesh Baabu,non-hate
HATE_1030,Jai Pawan Kalyan Garu. Pawan ji in Andhra and modi ji in center. Perfect Combo🇮🇳🇮🇳 I AM A BIG FAN OF SIR from Delhi. I have someone like him in Delhi.,non-hate
HATE_1031,SIR YCP KI BALLE GUNAPAM DIMPUTUNAVU,hate
HATE_1032,"Harish Rao Garu Adiginatlu, Kaleswaram Project Pai, CBI Inquiry Veyali",non-hate
HATE_1033,Gounu Leduga Anduke Intlo Tongunnadu Bayataki Vaste Ummivestarani,hate
HATE_1034,Pavan Kalyan Gari Nayakatvam Vardillali Jai Power Star,non-hate
HATE_1035,Sagam kaalchina chutta peekalaku brand amsador,hate
HATE_1036,BJP central lo vachi yemi chesinru chepu,hate
HATE_1037,PK Navu Janmmalo Ward Member Kuda Kaledu,hate
HATE_1038,Lancham Antunaru Anam Garu ...... Inthaku Mundu Your Government Ilagey Chesinda ...,hate
HATE_1039,Jagan eppatiki CM avvaledu raasi pettukoo .... ha ....,hate
HATE_1040,Kirrak Movie Cinema Gurinchi Bad ga Anakandi Jai Mahesh Anna,non-hate
HATE_1041,Ka pal garu miru super,non-hate
HATE_1042,Hehe MLA Kuda Glavaledu Kanisam Gurtu Kuda Ledu Ento Pikuta Antunnadu,hate
HATE_1043,NO 1 LOAFER. Jai tdp-lokesh,hate
HATE_1044,Asalu Ka Paul Time Ivvakudadhu Amitashaku Andhukante Ayana 120 Deshala PM Lanu Ayana Kalisaru,non-hate
HATE_1045,Vammo mamulodivi kadu swamy nuvvu,non-hate
HATE_1046,Manalli yavadu ra apeddi,non-hate
HATE_1047,Poraaa..Red Flower ...,hate
HATE_1048,He has more talking power aina daivajanulato anta easy kadu mari,non-hate
HATE_1049,Mahesh Babu Nilabadithe Chalu Memu Chusathsam Bayya Super Dail.,non-hate
HATE_1050,Idira pual power anty ippudina telusukondra,non-hate
HATE_1051,Ramu Garu Correct GA CHEPARU SIR,non-hate
HATE_1052,Nuvvu bjp b party ra houle,hate
HATE_1053,Ayanni Okasari Kodithey Meeru Laksha Sarlu Chupisthunnaru Emkavali Meeku,hate
HATE_1054,Employees ki antha salary lu vasthuna chalatledhu,hate
HATE_1055,TC Rate Penchadam Kadu ... Udyamalu Cheyakunda ... Employees Kastapadithe Development Avutundi ...,hate
HATE_1056,Ni Jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan Thana Cinema dabbulu pedavallaki pancharu,non-hate
HATE_1057,AALLU EELLU ANDARU OKKATE,non-hate
HATE_1058,ETV News Ani Thesesi Chandrana News,non-hate
HATE_1059,Miru kada ra Janalni mosam chesedhi,hate
HATE_1060,Nenukuda.pedhavadene.upadhe.ledhu.vudhyogam.ledhu.panulu.ekuva.dhorukadamledhu,non-hate
HATE_1061,EE sari nennu ne boss ni chayputho kodataru plz hold til 2024,hate
HATE_1062,Eppudina Ardaminda Power Cuts AP Lone Kaadu India Mottam Edhe Problem,non-hate
HATE_1063,Asalem matladuthunnavo neekanna ardham ayithundha,hate
HATE_1064,EDE AP LO AITE PACHHA Media Pachha Party Diniki Kuda Jagan Ne Karanam Ane Vallu,hate
HATE_1065,America agent jelensky .... Deshanni Nashanam Chesthunnadu.,hate
HATE_1066,POWER LO UDI EVARU RA VEDAVA,hate
HATE_1067,Torch Lite Kuda Leni Rojula Fake News Vadu Kavalane Chesind,hate
HATE_1068,Prajalu andaru sachinanka peekedemiledu,hate
HATE_1069,Amarica Andatho Madam Perigi Kotukuntundi Urikine,hate
HATE_1070,Chetthaplan. Raakshathvam,hate
HATE_1071,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate
HATE_1072,India an Russia Are Best Friendly Countries Evaru Dislike Chesaro Vallu Pak,non-hate
HATE_1073,Easy Vochina Success Ni Scam Antarau .. Emi Chepparu Bhayya ..,non-hate
HATE_1074,Niyamtruthva Leaders TIME Konni Rojule.,non-hate
HATE_1075,"Samsaram Kadu, Adi Vebhicharam",hate
HATE_1076,Nice baaga dhimpav anchor bro.,hate
HATE_1077,Mari aa Sangathi thatisi Antha Madham Yendhukura Niku .... Vaaru Garu Antunnaav .... Gnanodhayamyndhi koddhiga ....,hate
HATE_1078,"""Maa"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ... ATHER “”",hate
HATE_1079,One and only Mega Star ..... Potthi Learu .... Raleyru,non-hate
HATE_1080,Andaru Ide Panlo Unnattunnaru Veellu Vammmo Meeru Rechagodithe Rechiporu Meeplans Panikirav Pondi,hate
HATE_1081,"Chiranjeevi Gaaru Meeru epudu GREATE MI Manasu, Mi Saayam, Mi Kalmasham Leni Vyakthitwam, Mi Prema Mundu Evvaru Sariporu Annayya Ee Vishnu Lantollu Mandala Mandocina ALLA KULLU VALLANE THAGALAPETTESTUNDI",non-hate
HATE_1082,Paul mosapoyadu .... RGV ellipoyadu ... Anchor biskit ayadu gist of this non sense,hate
HATE_1083,"Official Ga 600 Acres Ante, Unofficial Ga Enno, Okko Family Member Peru Meedha Enni Ekaraalu Unnayo .. Raitu Bandhu Okkati Chalu,",hate
HATE_1084,Real Joker re unnadu kada malli sir,hate
HATE_1085,MallaReddy Dookudu Cenima Lo Bramhi Character Correct Set Aithadu,non-hate
HATE_1086,MADYALO AA SOUND EFFECTS MATRAM NEXT LEVEL ..,non-hate
HATE_1087,E Endaku Aa Godugu Padutunnadu ..... Itlaanti Vaadini Ekkada Unchalo Akkada Unchali ... YCP Vallu Ade Chesaru ....,hate
HATE_1088,Prudhvi Sir Very Good Man Now ..... Sir Thana Thappu Theelikunnaru ...,non-hate
HATE_1089,SIR EE Discussion,hate
HATE_1090,"Dear, ETV Variki, Dear, Gnapika Entertainment's Variki, Dear, Ali Gariki, Sir, Adivi Sesh Gariki, Madam, SaiEe Manjrekar Gariki",non-hate
HATE_1091,Telugu Lo Sesh Chala Intelligent Screenplay Writer .. Chala Talent Vundhi Manodiki,non-hate
HATE_1092,"Ma Kharma .. Rastani Palinche Mantrulu Malla Reddy, Gangula, Talasani Meeku Oka Dandam Ra Babu",hate
HATE_1093,Gudivada King TRUE LEADER,non-hate
HATE_1094,Elders ki respect lekunda matladina vaadu Oka Hero ...,hate
HATE_1095,"Power Loki Vachaka Prajala Paina Kallu Petti Thokkutharuu,",hate
HATE_1096,Assembly lo Aa Party Kani,hate
HATE_1097,Miru Chala Great Man. Simham munduku kukkalu ravu sir. Love you soo .. bratiki konnirojulaina lane vundali .. love you,non-hate
HATE_1098,"Super Sathi Garu, Mee Action Superb..Chala Enjoy Chesthunnamu.",non-hate
HATE_1099,Arey Budder Khan Nuvvu Asalu,hate
HATE_1100,Venki anna yekkada unna haa joshi veru,non-hate
HATE_1101,"Permit room lu enduku pettirru
Thaginanka Oka Beer Tho Aguthara",hate
HATE_1102,Kaveri jah kadu ra adi evarro kudo teliduuuuuu jafa,hate
HATE_1103,Wines lo Thaage System Pettakandi Sir Banjeyandi Samaanyula Midhane Miru Ebbandhi Pedtharu Wines Yekkada Padithe Akkada Unnai Galliko Wines Aindhi,hate
HATE_1104,Manchu Laxmi Lo Andam Ekada Kanipistunde Raa Babu .Dabbbu Unte Stone Kuda Diamond Laga Kanipistunde,hate
HATE_1105,"Meru Devudu Anna, Life Long Meru Healthy Ga Undalani Devudu Ki Pratistunna",non-hate
HATE_1106,Samba Shivudu Great Humanity Person,non-hate
HATE_1107,Wow ..real journalist Mallanna Gariki Hattsoff ... Melaga Andaru Journalists Vuntey Asalu Corruption Cheyadaniki Kuda Bhayapadtaru Anna ...,non-hate
HATE_1108,Konchem odd ga behave cheyadam kadandi .. .Pitchandi edi ..,hate
HATE_1109,Eme Thagi matladththundemo,hate
HATE_1110,"Andhra Lo Roads Veyandi Babu Koncham. Accidents Avthunnai, Vehicles Anni Damage Avthunnai .. Krishna And West Godavari Roads Aithey Mari worst",hate
HATE_1111,YouTube Vedios Konni Follow Ayyedhanni Tharwatha BB House Lo Koncham Negitive,non-hate
HATE_1112,Prajala Samasyala Gurinchi Okaru Kuda Matladaru Kadha ..nice ...,hate
HATE_1113,Ayithe Life Politician Kavali Ra Babu.,non-hate
HATE_1114,Jagan paapam pande rojulu dhaggara paduthunnayi; Vasthunnayi Vasthunnayi Manchi Rojulu Vasthunnayi.,hate
HATE_1115,"Idemi daridramu ra anna? Assalu Bharincha Leka Potunnamu. Veellaku emina buddhi gnanamu vunda? VELLA IQ ENTA. Mott Amur Family Kalipi Chusina, 100 daatadi emo.",hate
HATE_1116,Adhikaram vunte thuglak gadu emina chesasthadu,hate
HATE_1117,Agu Gadi Debbaku Reddys Ni Jobslo Evaru Petukoru Kulanike,hate
HATE_1118,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate
HATE_1119,Nijam ayyina reddlu tdp ki support ga undalii,non-hate
HATE_1120,Me Vally Telagana Eroju Ela Vundhi Sir Ma Ma Ma Ma Ma Maa Kuda Jagan Lanty Yadhava Kakundha Melanty Ledars Kavali Sir Great KCR,hate
HATE_1121,Mata tadabada kunda clear ga ktr sir matalu super,non-hate
HATE_1122,Telangana Ki Manchi Rojulu Vasthunai ...,non-hate
HATE_1123,Big Boss lo hee felt lonely ... a emotion lo siri ne hug cheskunadu..not with bad intention ... hope deepthi understands heim..His Smile ND Eyes Both R Filled With Pain ...,non-hate
HATE_1124,Meru Superr Andhra Gurchines,non-hate
HATE_1125,Partial dharidrsm voddhu sir,hate
HATE_1126,Okka Party Lo Unte Neevu Correct.Change Aite Ilane Untundi,hate
HATE_1127,Ravi Teja .. The Man Behind Those Wonderful Memes ..#Raviteja Anna Ki Oka Oooooo ...,non-hate
HATE_1128,YCP chappina matalu vinte mosapotaru jagrtta,hate
HATE_1129,Vidipoyaru ana pain,non-hate
HATE_1130,"IPPUDU EE VEDIO Choostey, Pichha Comedy Ga untundhi ,,, comedy cheddam anukoni comedy aipoyava narsiredyyyyyyyyyyyyyyyyya",hate
HATE_1131,"Janame Kurcho Pettaru, Mimmalni Tharimi Kottaru",hate
HATE_1132,Ramcharan Garu Mari Intha Introvert Ha Devuda Decent Ga Unnadu Fidha NTR Rajamouli Suma Garu Next Level Super,non-hate
HATE_1133,CBN Maryada Poorvakanga Mic Isthe Praja Samasyalu Theelukokunda MP Garu Dhurviniyogam Chesaru,hate
HATE_1134,Jokulu vesukoni navukunnaru ... eppudu andaru navutunnaru ..... chusi.,non-hate
HATE_1135,Vedu evavu overaction chesthunnadu child labour aa,hate
HATE_1136,Pilla pu aathulu,hate
HATE_1137,velli allurjun madda guudu,hate
HATE_1138,Super Sir Mee Lanti Vallu Undali Si,non-hate
HATE_1139,AH GROUP LO Nannu Add Chandi Mawa,non-hate
HATE_1140,Super Sir,non-hate
HATE_1141,Great Sir Me Behavior Ku Na Police Vallu Andharu Me Laga Unte Friendly Policing,non-hate
HATE_1142,Nibba ki phone istey ela untundi,hate
HATE_1143,"Super ga vundhi drama comen people ni sir ani kuda antara o my god, this is the work work guys.",non-hate
HATE_1144,Nagavalli Died Become of This Video,hate
HATE_1145,Prank lu Chesukuntunaru e Police Gallu .... Public Ni Mosam Cheyadaniki,hate
HATE_1146,Aatla Vastai anna niku enni telivi tetalu oka cinema thi anna,non-hate
HATE_1147,Vera Level Sinking Sir Comedy Super,non-hate
HATE_1148,Police Drama Is This ...,hate
HATE_1149,Okkokkadiki 9 months Pregnancy Vundhi Police'laki,hate
HATE_1150,Acting Chaalabaagundi Mi Timing Kanivandi Performance Kanivandi Dialogue Delivery Gaani Nice,non-hate
HATE_1151,Anna Nuvvu Chavaku This is very pagan.,hate
HATE_1152,EE Movie Kosam. Waiters. ..like vesukondiii ....,non-hate
HATE_1153,This song is good ..,non-hate
HATE_1154,"Character of the episode award goes to- ""1a master""",non-hate
HATE_1155,HOPE That There is no ending in Madhu Character ..,non-hate
HATE_1156,Vijay's questions (answers) ...,hate
HATE_1157,Vijay can not expect that Vijay will give such logical answer ........ Great,non-hate
HATE_1158,Tv 9 was born for the sake of Erripappa,hate
HATE_1159,Tv9 ki dula thirchestadu rgv,hate
HATE_1160,We wander to loosen and cover all around them.,hate
HATE_1161,Varindayya Maha Pathivrata .... Anusuya means Niwalla booth ..... she says morals ...,hate
HATE_1162,"Anasuya, what do you do in the Jabardast show, the Vedas! The original ashes started from your show.",hate
HATE_1163,Boothu Ki Care Of Address Ayina Anasuya Garu Boothu Gurinchi Maatlaaduthundhi ... wah wah!,hate
HATE_1164,Video Super Ayya Editing Super Anthey,non-hate
HATE_1165,Edhi Matharam Jabardasth lo expose cheychu adult comedy cheyachu ari fikudhi,hate
HATE_1166,Assalu Monna Vachina Khiladi Cinima Lo Anusuya Matram Hot Hot Ga Ichi Padesindi..anthe,non-hate
HATE_1167,"Bhuthulu Gurinchi, Double Meanings Gurinchi Nuv Matladodhu Anusuya Plz",hate
HATE_1168,RGV Garu ...... This time Murthy Character in your movie .....,non-hate
HATE_1169,FAN wings are nearing the day of broken,hate
HATE_1170,Meeku Ichindhi Mamulu Post Kadhu .... SVBC Chairman Ante Manchi Post ... Meeru Daani Missuse Chesukunnaru ... Jagan Gurinchi PK Gariinchi Kadhu ..... Meeru Avakaasamu Miss Chaesukunnaru ....,hate
HATE_1171,When will Jafa whale 420 groove say RIP,hate
HATE_1172,Pilichi Pettinchukuntaru Ga .... TV9 Ki Eemadhya Sarada Ayindi ...,hate
HATE_1173,E tv 9 ki burra poyandhi,hate
HATE_1174,"Nagababu Selection Super, Gully Boys Adurs",non-hate
HATE_1175,Ñela Oka 1hr Kuda Undalem Sir Jai RGV,non-hate
HATE_1176,Broy is your judgement correction,non-hate
HATE_1177,Srikanth Reddy is definitely wrong. It is still wrong to say that Kalyani is a mistake,hate
HATE_1178,Nag Sir Said About Natraj Master,non-hate
HATE_1179,"Akhil, shiva good players .. are playing very well .. I like Akhil and Shiva",non-hate
HATE_1180,Vedhavalu vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa,hate
HATE_1181,When is the TV Five when false propaganda,hate
HATE_1182,Byredyy Cheypdu Kada Ra Nenu Party Maredu Ledu Ani Mee Moddalo Gola Yanti Raa,hate
HATE_1183,Vadu em matladuthunnado EANNA Artham Aithe. Kanisam telugu translator ni pettukovachuga. Telugu Bashaki respect Ivvaru BJP Vallu,hate
HATE_1184,Anna Nee Comedy Expressions Baguntai,non-hate
HATE_1185,Bro Ni Slang Ee Neeku Plus Point ...... Manchi Humour Undi Neelo .... Elane Regular Ga Videos Chestu Undu .... 100k Pakka ...,non-hate
HATE_1186,The AP people still have to be brought to mind,hate
HATE_1187,Shame wanders,hate
HATE_1188,"If the YCP wins again, the people of Andhra Pradesh should eat 200% this is true",hate
HATE_1189,"For the sake of MLA ticket, this time for the sake of the post, the government trip to the government, sin CM guarantees.",non-hate
HATE_1190,"Metu Theskoni Kottandi, Okka Jobs Ledu, Devlopmet Ledu, Asalu Money Veyydam Votes Kosam Pedda Scam Idi",hate
HATE_1191,This is the first time Mahesh Babu laughs at this range. Big thanks to sathi anna.,non-hate
HATE_1192,Great sir you have no smoke called a little hero,non-hate
HATE_1193,"Avatar is a fairy world. Its director James Cameron is more amazing. To his ideas, creativity",non-hate
HATE_1194,Uma Anna means stomach inflammation just west candate v,hate
HATE_1195,Dīnam'ma jīvitaṁ ..... okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭdu kadā anvēṣa .....,hate
HATE_1196,"Watch videos as you cool
Leave e Tenksons",hate
HATE_1197,Nataraj Master has just understood that Ravi is true ... Nataraj Master is still a man ...,hate
HATE_1198,Indraja Garu Superb Timing in Indraja Gary Fans Promo,non-hate
HATE_1199,Ravi Prakash Vunnappudu. Chaala Mandhi House lloki. Veylli. Vaalla Bed Rooms varaku Veyllaru. Chaala Mandhi. Jevitaalato. TV9 lanja channel ani. Chaala Mandhi. Cheyparu,hate
HATE_1200,Matter Divert Chestundii Ame Ra Hamara Prasad ga Bura Leda Kanisam Legal ga ela adoption chesukovali ani gutleee,hate
HATE_1201,Bjp lo seat kosam baga chesav le stunt,hate
HATE_1202,RGV is very correct,non-hate
HATE_1203,Each one speaks very cool in an interview. He tells the facts fearlessly. RGV ...,non-hate
HATE_1204,"Theater Kellina Badhitula ga ma badhalu panchukunnam anthe. Boothulu Tittadam, Family Ni Involve Cheyadam EE Panchayati lu oddu amma. Happy ga undandi",hate
HATE_1205,AnnnaAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahoo should,non-hate
HATE_1206,Arey TV9 NUV Pole has anything to do with,hate
HATE_1207,US Youngting Super Cinema Super,non-hate
HATE_1208,Ippudu Nuvvu Cheppindi Yem Pikutanani News Chesataru,hate
HATE_1209,Ni Thumbnail Jathini Thenga,hate
HATE_1210,Puri Sir Me Flop Movies Meetho bagu paddollu mimmalni marchipoyi undicchu sir. But memu kadu. Love you sir. E Movie Tho Vijay Manchi Super ⭐️ Avvalani Korukuntunna 💝💝💝,non-hate
HATE_1211,Puri Raasina Dialogues Mahesh Chepthea Excellent Ga Set Avthai,non-hate
HATE_1212,Endhukura Ayya Pichi Pichi Thumbnails pedtharu ???,hate
HATE_1213,U DON'T WORRY BRO AA Kalyani Ki Dhula Patti iDHANTHINTHINDHI,hate
HATE_1214,Baga Chepparu..Maha News Is Waste News..only BJP Ki,hate
HATE_1215,Pora Howley,hate
HATE_1216,Raw Srikanth,non-hate
HATE_1217,"Jai Kumar Next Nee Amma Nee, Sisters Nee Andharni Petti Prank Thesthadu Vadu Wait",hate
HATE_1218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate
HATE_1219,Vaadikasalu em maatlaaduthunnaado clarity ne ledhu maatlaaduthunnaadu yedhava,hate
HATE_1220,Gayathri Medam Super Cheppinav Good,non-hate
HATE_1221,Telangana Governor Tamil Sai Garu is very happy to come to Open Heart with RK,non-hate
HATE_1222,Radhakrishna Garu after many years you looked happy and grehens the governor of honor,non-hate
HATE_1223,Nice talking very easy Her Excelency Governor Madam,non-hate
HATE_1224,Meeku Governer POST IVVADAME WASTE,hate
HATE_1225,"Meru Enni Kathalu Padda KCR 100% Next CM Of Telangana, Cheap Interviews With Cheap ABN Rada Krishna",hate
HATE_1226,Asal Mamulga ledu ... thop ... awesome,non-hate
HATE_1227,ah lobo ni marchandi ra babu,hate
HATE_1228,This is the wonderful video you've seen in my life,non-hate
HATE_1229,Ending naku tears vachai bro. Harsh Sai Real Hero. God Bless U Brother.,non-hate
HATE_1230,Intentionally Geliki Emina Serious ITE NEWS Chedamani ...,hate
HATE_1231,Social Media Parma Chetha Media Valu Asalu Vishayalu Telsikounda Matladam Manchi Kadu,hate
HATE_1232,News Valu Pen Undani Rayatam Manchidi Kadu,hate
HATE_1233,Evadentha echaru neeku dabbulu bese yadavalraa,hate
HATE_1234,Low to comedy ...,hate
HATE_1235,Public Meeting Lo ala Matladalo Teliyani Valaki Anchor Chance Ivvakamdi,hate
HATE_1236,"Over Confidant Ithe Alage Untadi ,,, Super Ga Cheppi Silent Chesinav Suma Akka,",hate
HATE_1237,Suma Akka Meeru Cooking Show Kuda Anchoring Chesthe Chala Baaguntundi,non-hate
HATE_1238,"Ali Siggundali No, Sanskaram No, Smiling So Celebrities Ki",hate
HATE_1239,Dayachesi. Ali ki anchoring ivvakandi,hate
HATE_1240,Suma akka u r super ni pakkana adu enduku chandalam ga,hate
HATE_1241,Ore Ali Inta Asahyamga Matladutaav Adavallatho Double Meaning Dialogues Matladutav Nuvvu MLA Ayyi Emi Peekutav,hate
HATE_1242,Ali Double Meaning Gadu..ChePPU DEBBA PADALI,hate
HATE_1243,Ali Mi Wife Kerala Vellara Ani Adigithe Niku Ela untundhi ???? Thappura Nayana Ala Matladatam,hate
HATE_1244,"Vaadiki baagaa balsindhi.mind dobbinattundhi, kodikki.",hate
HATE_1245,NUV Politics Loki Vellali AnukutunnaveMo,hate
HATE_1246,Nidra pothunna gaadida nu lepi thanninchukovadam ante Ide. Dayachesi vadiki public lo mike ivvakandi.,hate
HATE_1247,Waste gaadu ali,hate
HATE_1248,Suma gurinchi evvaru cheppanakkarledu. Tanante maaku chala istam.,non-hate
HATE_1249,Deneke paneameladau. Vadeke paneameladu.neku.paneameladu. RAA,hate
HATE_1250,Climax Chala Bagundhi Lot's Of Fun Enjoyed A Lot,non-hate
HATE_1251,"Very nice bro. As a child, we all did it Bro is very happy to see this series. Best of luck bro.",non-hate
HATE_1252,EE Series Mana Filmymoji Channel Lo Best Series Avalani Korukuntuna,non-hate
HATE_1253,Comedy is much better in Filmy Moji than Fun Moji,non-hate
HATE_1254,Great Women,non-hate
HATE_1255,Yenta Spastanga Ame Voice Undo Chudandi ...,non-hate
HATE_1256,Waste Fellow in Tollywood,hate
HATE_1257,Someone after Bundla Ganesh is a speech.,non-hate
HATE_1258,"Of course, Pawan Kalyan is a voice ..",non-hate
HATE_1259,Nenu chusina all speech lo ekkuva sarlu chusanu,non-hate
HATE_1260,Speech that seem to see how many times,non-hate
HATE_1261,42 times the bore is not beaten,non-hate
HATE_1262,Na Friend Valla Papa Ki Operation Ite Aravind Gari Foundation Help Chesindi. He is real doing a comendable job,non-hate
HATE_1263,Tokka Kooda oppukonu,hate
HATE_1264,"Telangana Lo BJP Vastene ... EE TRS Aarachakaalu Tagguthai, Police La Ni Venta Pettukoni",hate
HATE_1265,KTR Matladedi Kanisam Ardam Chesukune Brain Leni Vallu Kuda KTR Anadame. Next Election Ki Sam Place Nunchi Poti Chesi Deposit Techukunte Chalu.,hate
HATE_1266,"Roja Garu Ituvanti Baddu, Biraagilanu Interview, Mee Dignity Thagguthadi, Ituvanti Vaaru Samaajaniki Cheeda Purugulu",hate
HATE_1267,Rajyanganni Marustham Ante Matram ThaggedEle,non-hate
HATE_1268,Arey Howle Nizamabad MP Pasupu Bord Edhi Be NV esukunna Angi Angi Lagu Kudha Cangress ICchindhe and Telangana Icchindhi Kuda Cangress,hate
HATE_1269,"Chi Chi Neeku Anchoring Evadu Nerponchondo .... Farmers Ni Arrest Chesinaru Ante ... Safety Ki Antava, Intha Dikkumaalina YYADAM CORRECT ANTAVA NV",hate
HATE_1270,Waste Fellow He Did Noting For Telengana,hate
HATE_1271,Gundu babu esari neku gundu sunna vasthundi no winnings,hate
HATE_1272,"Your analysis ... Very Interesting, Real. We listen meticulously. We Appreciate You",non-hate
HATE_1273,"Babu Gogineni Garu, Suereb GA CHEPARU",non-hate
HATE_1274,Rk gaaru pedda kulagajji gaaru,hate
HATE_1275,We are proud to say that you are your fan,non-hate
HATE_1276,Anna does not sleep three to four times a day .....,non-hate
HATE_1277,"Miru miru okkatey, madyalo fans ey suffer avuthaaru",hate
HATE_1278,Dabba rayulu,hate
HATE_1279,You are born from where you are your family.,hate
HATE_1280,Orey miru ches is not developed ...... except for the demons,hate
HATE_1281,"Sannasi Anagaane Nene Ani, Mee Honesty Ki Hat's Off Sir",hate
HATE_1282,Idendayya idi mariiiii ila thayarayyaru dandaalu ra ayya,hate
HATE_1283,Nani inkosari PK Speech Chudu ... Sollu Kakunda Raise Chesina Points Gurinchi Matladu ... Sannasivenuv No Doubt,hate
HATE_1284,Peoples Be Like: Nuvvu Nijanga Erripukivi,hate
HATE_1285,Sanyasi Ante Yevaro anukunna e korja gada,hate
HATE_1286,Maa karama elanti ministers undadam,hate
HATE_1287,"PK Cheppindi Enti, Veedu Cheppedi Enti, Kulala Madya Chichu Pedadam Annatu Undi Veedu Matladedi",hate
HATE_1288,Hero in Pawan Kalyan Movies ... '0' in Politics,hate
HATE_1289,"Asalu Villu Prajalaki EM Manchi Chesthunnaroo Cheppandi, Boothulu Maatlaadi Public Ki TV Ki Entertainment Cheyakandi",hate
HATE_1290,"karthikeya masth cheppinddu, sudheer miru jabardasth ki belong avvaru, dhee ki belong avvaru, ma audience ki belong avutaru",non-hate
HATE_1291,"New Year Happy Super Event Sudhir and Rashmi Dance Super
IAM WATHING WORKING EVENT",non-hate
HATE_1292,Climax Telisikuda Chusam Ante That's All BCOZ Of Sudheer And Rashmi,non-hate
HATE_1293,Okko punch okko diamond la undi vro..nice edit .. !!!,non-hate
HATE_1294,Vijay devarakonda fans ekkada thagedhele,non-hate
HATE_1295,Sudheer Anna is great for talking to others.,non-hate
HATE_1296,Sudheer Gaaru Team Yekada Unna Full Comedy ... Perfect Time Ki Set Ayyeka Comedy Chestharu,non-hate
HATE_1297,NDian Marriages Antey Narakam ..... I ve Seen that hell .... police case lu .... blackmailing ..chala untayi ... Ga Single Ga Undandi ... Focus On Your Goals ..... Love Your Parents ... Friends..God Bless You All…,hate
HATE_1298,Lavada Bro Hater Gallu Chiller,hate
HATE_1299,gudda lo rod dimuptha,hate
HATE_1300,puk chinthapandu chestha na kodaka,hate
HATE_1301,Denginchukondi ra Monna na notlo modda pettaru gah,hate
HATE_1302,niamma puku denga siggu vundali ra,hate
HATE_1303,na athulu anta leru na endhuku ra,hate
HATE_1304,Enko sari horn kodite gudda lo pedutha na kodaka,hate
HATE_1305,Music Apara Lanja Kodaka,hate
HATE_1306,Power Star ..... Anedi Oka Brand .... Evadu Padithe Vadu Power Star Star Kadu ... Kaledu ... King Okkade Power Star Okkale,non-hate
HATE_1307,Power Star Ante Movies and Acting Kadu Real Star Only,non-hate
