S.No,translated_texts,Label,telugu_texts
HATE_1082,Paul mosapoyadu .... RGV ellipoyadu ... Anchor biskit ayadu gist of this non sense,hate,Paul mosapoyadu....RGV ellipoyadu...anchor biskit ayadu gist of this non sense
HATE_1083,"Official Ga 600 Acres Ante, Unofficial Ga Enno, Okko Family Member Peru Meedha Enni Ekaraalu Unnayo .. Raitu Bandhu Okkati Chalu,",hate,"Official ga 600 acres ante, unofficial GA enno, okko family member peru meedha enni ekaraalu unnayo.. Raitu bandhu okkati chalu,"
HATE_1084,Real Joker re unnadu kada malli sir,hate,Real joker re unnadu kada malli sir 
HATE_1085,MallaReddy Dookudu Cenima Lo Bramhi Character Correct Set Aithadu,non-hate,Mallareddy Dookudu cenima lo bramhi character correct set aithadu
HATE_1086,MADYALO AA SOUND EFFECTS MATRAM NEXT LEVEL ..,non-hate,Madyalo Aa sound effects matram next level.. 
HATE_1087,E Endaku Aa Godugu Padutunnadu ..... Itlaanti Vaadini Ekkada Unchalo Akkada Unchali ... YCP Vallu Ade Chesaru ....,hate,E endaku aa Godugu padutunnadu.....itlaanti vaadini ekkada unchalo akkada unchali...YCP vallu ade chesaru....
HATE_1088,Prudhvi Sir Very Good Man Now ..... Sir Thana Thappu Theelikunnaru ...,non-hate,Prudhvi sir very good man now.....sir thana thappu thelisikunnaru...
HATE_1089,SIR EE Discussion,hate,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi
HATE_1090,"Dear, ETV Variki, Dear, Gnapika Entertainment's Variki, Dear, Ali Gariki, Sir, Adivi Sesh Gariki, Madam, SaiEe Manjrekar Gariki",non-hate,"Dear, ETV Variki , Dear, Gnapika Entertainment's Variki , Dear, Ali Gariki , Sir, Adivi Sesh Gariki , Madam, Saiee Manjrekar Gariki "
HATE_1091,Telugu Lo Sesh Chala Intelligent Screenplay Writer .. Chala Talent Vundhi Manodiki,non-hate,Telugu lo sesh chala intelligent screenplay writer .. Chala talent vundhi manodiki
HATE_1092,"Ma Kharma .. Rastani Palinche Mantrulu Malla Reddy, Gangula, Talasani Meeku Oka Dandam Ra Babu",hate,"Ma kharma .. rastani palinche mantrulu malla Reddy,gangula,talasani meeku oka dandam ra babu"
HATE_1093,Gudivada King TRUE LEADER,non-hate,Gudivada king true leader
HATE_1094,Elders ki respect lekunda matladina vaadu Oka Hero ...,hate,Elders ki respect lekunda matladina vaadu Oka hero...
HATE_1095,"Power Loki Vachaka Prajala Paina Kallu Petti Thokkutharuu,",hate,"Power loki vachaka prajala paina kallu petti thokkutharuu,"
HATE_1096,Assembly lo Aa Party Kani,hate,Assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si
HATE_1097,Miru Chala Great Man. Simham munduku kukkalu ravu sir. Love you soo .. bratiki konnirojulaina lane vundali .. love you,non-hate,Miru chala great man. Simham munduku kukkalu ravu sir. Love you soo much.. Bratiki konnirojulaina ilane vundali.. Love you
HATE_1098,"Super Sathi Garu, Mee Action Superb..Chala Enjoy Chesthunnamu.",non-hate,"Super sathi garu,mee action superb..chala enjoy chesthunnamu."
HATE_1099,Arey Budder Khan Nuvvu Asalu,hate,Arey budder khan nuvvu asalu 
HATE_1100,Venki anna yekkada unna haa joshi veru,non-hate,Venki anna yekkada unna haa Joshi veru
HATE_1101,"Permit room lu enduku pettirru
Thaginanka Oka Beer Tho Aguthara",hate,"Permit room lu enduku pettirru 
Thaginanka oka beer tho aguthara"
HATE_1102,Kaveri jah kadu ra adi evarro kudo teliduuuuuu jafa,hate,Kaveri jah kadu ra adi evarro kudo teliduuu jafa
HATE_1103,Wines lo Thaage System Pettakandi Sir Banjeyandi Samaanyula Midhane Miru Ebbandhi Pedtharu Wines Yekkada Padithe Akkada Unnai Galliko Wines Aindhi,hate,Wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi
HATE_1104,Manchu Laxmi Lo Andam Ekada Kanipistunde Raa Babu .Dabbbu Unte Stone Kuda Diamond Laga Kanipistunde,hate,Manchu Laxmi lo andam ekada kanipistunde raa babu .dabbu unte stone kuda diamond laga kanipistunde
HATE_1105,"Meru Devudu Anna, Life Long Meru Healthy Ga Undalani Devudu Ki Pratistunna",non-hate,"Meru devudu anna,life long meru healthy ga undalani devudu ki pratistunna"
HATE_1106,Samba Shivudu Great Humanity Person,non-hate,Samba shivudu great humanity person
HATE_1107,Wow ..real journalist Mallanna Gariki Hattsoff ... Melaga Andaru Journalists Vuntey Asalu Corruption Cheyadaniki Kuda Bhayapadtaru Anna ...,non-hate,Wow ..real journalist mallanna gariki hattsoff...melaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna...
HATE_1108,Konchem odd ga behave cheyadam kadandi .. .Pitchandi edi ..,hate,konchem odd ga behave cheyadam kadandi.. .pitchandi edi..
HATE_1109,Eme Thagi matladththundemo,hate,Eme thagi matladthundemo
HATE_1110,"Andhra Lo Roads Veyandi Babu Koncham. Accidents Avthunnai, Vehicles Anni Damage Avthunnai .. Krishna And West Godavari Roads Aithey Mari worst",hate,"Andhra lo Roads veyandi babu koncham. Accidents avthunnai, Vehicles anni damage avthunnai.. Krishna and West Godavari Roads aithey mari worst"
HATE_1111,YouTube Vedios Konni Follow Ayyedhanni Tharwatha BB House Lo Koncham Negitive,non-hate,Youtube vedios konni follow ayyedhanni tharwatha BB house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer All the Best for your future Shanmukh ??
HATE_1112,Prajala Samasyala Gurinchi Okaru Kuda Matladaru Kadha ..nice ...,hate,Prajala samasyala gurinchi okaru kuda matladaru kadha ..nice ...
HATE_1113,Ayithe Life Politician Kavali Ra Babu.,non-hate,Ayithe life politician kavali ra Babu.
HATE_1114,Jagan paapam pande rojulu dhaggara paduthunnayi; Vasthunnayi Vasthunnayi Manchi Rojulu Vasthunnayi.,hate,Jagan paapam pande rojulu dhaggara paduthunnayi ; vasthunnayi vasthunnayi manchi rojulu vasthunnayi.
HATE_1115,"Idemi daridramu ra anna? Assalu Bharincha Leka Potunnamu. Veellaku emina buddhi gnanamu vunda? VELLA IQ ENTA. Mott Amur Family Kalipi Chusina, 100 daatadi emo.",hate,"Idemi daridramu ra Anna ? Assalu bharincha leka potunnamu. Veellaku emaina buddhi gnanamu vunda? Vella IQ enta. Mott Amur family kalipi chusina, 100 daatadi emo."
HATE_1116,Adhikaram vunte thuglak gadu emina chesasthadu,hate,Adhikaram vunte thuglak gadu emaina chesasthadu
HATE_1117,Agu Gadi Debbaku Reddys Ni Jobslo Evaru Petukoru Kulanike,hate,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi
HATE_1118,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi
HATE_1119,Nijam ayyina reddlu tdp ki support ga undalii,non-hate,Nijam ayyina reddlu tdp ki support ga undali
HATE_1120,Me Vally Telagana Eroju Ela Vundhi Sir Ma Ma Ma Ma Ma Maa Kuda Jagan Lanty Yadhava Kakundha Melanty Ledars Kavali Sir Great KCR,hate,Me Vally telagana Eroju Ela vundhi sir MA Andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr
HATE_1121,Mata tadabada kunda clear ga ktr sir matalu super,non-hate,Mata tadabada kunda clear ga ktr sir matalu super
HATE_1122,Telangana Ki Manchi Rojulu Vasthunai ...,non-hate,Telangana ki manchi rojulu vasthunai... 
HATE_1123,Big Boss lo hee felt lonely ... a emotion lo siri ne hug cheskunadu..not with bad intention ... hope deepthi understands heim..His Smile ND Eyes Both R Filled With Pain ...,non-hate,Big boss lo he felt lonely...a emotion lo siri ne hug cheskunadu..not with bad intention...hope Deepthi understands him..his smile nd eyes both r filled with pain...
HATE_1124,Meru Superr Andhra Gurchines,non-hate,meru superr andhra gurchince koncham careing im haapy for that keep supporting
HATE_1125,Partial dharidrsm voddhu sir,hate,Partial dharidrsm voddhu sir
HATE_1126,Okka Party Lo Unte Neevu Correct.Change Aite Ilane Untundi,hate,Okka party lo unte neevu correct.change aite ilane untundi
HATE_1127,Ravi Teja .. The Man Behind Those Wonderful Memes ..#Raviteja Anna Ki Oka Oooooo ...,non-hate,Ravi teja.. the man behind those wonderful memes ..#Raviteja anna ki oka Oooooo...
HATE_1128,YCP chappina matalu vinte mosapotaru jagrtta,hate,Ycp chappina matalu vinte mosapotaru jagrtta
HATE_1129,Vidipoyaru ana pain,non-hate,Vidipoyaru ana pain feel una navvuthunadu shannu
HATE_1130,"IPPUDU EE VEDIO Choostey, Pichha Comedy Ga untundhi ,,, comedy cheddam anukoni comedy aipoyava narsiredyyyyyyyyyyyyyyyyya",hate,"Ippudu ee vedio choostey, pichha comedy ga untundhi,,,comedy cheddam anukoni comedy aipoyava narsiredyyy,,,,yadaki poyavayyaa"
HATE_1131,"Janame Kurcho Pettaru, Mimmalni Tharimi Kottaru",hate,"Janame kurcho pettaru, mimmalni tharimi kottaru"
HATE_1132,Ramcharan Garu Mari Intha Introvert Ha Devuda Decent Ga Unnadu Fidha NTR Rajamouli Suma Garu Next Level Super,non-hate,Ramcharan garu mari intha introvert ha devuda decent ga unnadu Fidha Ntr rajamouli suma garu next level super
HATE_1133,CBN Maryada Poorvakanga Mic Isthe Praja Samasyalu Theelukokunda MP Garu Dhurviniyogam Chesaru,hate,CBN maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru
HATE_1134,Jokulu vesukoni navukunnaru ... eppudu andaru navutunnaru ..... chusi.,non-hate,Jokulu vesukoni navukunnaru... Eppudu andaru navutunnaru ..... Chusi.
HATE_1135,Vedu evavu overaction chesthunnadu child labour aa,hate,Vedu evavu overaction chesthunnadu child labour aa
HATE_1136,Pilla pu aathulu,hate,Pilla pu AAthulu
HATE_1137,velli allurjun madda guudu,hate,velli allurjun madda guudu
HATE_1138,Super Sir Mee Lanti Vallu Undali Si,non-hate,Super sir mee lanti vallu undali si
HATE_1139,AH GROUP LO Nannu Add Chandi Mawa,non-hate,Ah group lo nannu add chaindi mawa
HATE_1140,Super Sir,non-hate,Super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi
HATE_1141,Great Sir Me Behavior Ku Na Police Vallu Andharu Me Laga Unte Friendly Policing,non-hate,Great sir me behavior ku na police vallu andharu me laga unte friendly policing
HATE_1142,Nibba ki phone istey ela untundi,hate,Nibba ki phone istey ela untundi
HATE_1143,"Super ga vundhi drama comen people ni sir ani kuda antara o my god, this is the work work guys.",non-hate,"Super ga vundhi drama commen people ni sir ani kuda antara o my god, this is team work guys."
HATE_1144,Nagavalli Died Become of This Video,hate,Nagavalli died because of this video
HATE_1145,Prank lu Chesukuntunaru e Police Gallu .... Public Ni Mosam Cheyadaniki,hate,Prank lu chesukuntunaru e police gallu.... Public ni mosam cheyadaniki
HATE_1146,Aatla Vastai anna niku enni telivi tetalu oka cinema thi anna,non-hate,Aatla vastai Anna niku enni telivi tetalu oka cinema thi anna
HATE_1147,Vera Level Sinking Sir Comedy Super,non-hate,Vera level sinking sir comedy super
HATE_1148,Police Drama Is This ...,hate,Police drama is this...janaalanu andhulo specially night time sir ani respect iche antha seen ledu...
HATE_1149,Okkokkadiki 9 months Pregnancy Vundhi Police'laki,hate,Okkokkadiki 9 months pregnancy vundhi police'laki
HATE_1150,Acting Chaalabaagundi Mi Timing Kanivandi Performance Kanivandi Dialogue Delivery Gaani Nice,non-hate,Acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani  nice kipet up all the best you have a great future as an artist
HATE_1151,Anna Nuvvu Chavaku This is very pagan.,hate,Anna nuvvu chavaku ???? ???? ??????.suspense ????????????.next episode ?????? pettanna.
HATE_1152,EE Movie Kosam. Waiters. ..like vesukondiii ....,non-hate,Ee movie kosam. Wait ?????????? . ..like vesukondiii....
HATE_1153,This song is good ..,non-hate,? ??? ???? .. ?? ???? ???????.....
HATE_1154,"Character of the episode award goes to- ""1a master""",non-hate,"Character of the episode award goes to- ""1A master"" ???? ?????? ????"
HATE_1155,HOPE That There is no ending in Madhu Character ..,non-hate,Hope that there is no ending in madhu character.. waiting for next episode in telugu with madhu again.. ... ??? ??????????????
HATE_1156,Vijay's questions (answers) ...,hate,???? ????? ????????? ??????? ??????? ?? (?????????) ?????...
HATE_1157,Vijay can not expect that Vijay will give such logical answer ........ Great,non-hate,????? ??? ??????? ???????? ???????? ?????? expect ?????........??????
HATE_1158,Tv 9 was born for the sake of Erripappa,hate,?????????? ?????? ????? ????????? tv 9
HATE_1159,Tv9 ki dula thirchestadu rgv,hate,Tv9 ki dula thirchestadu rgv 
HATE_1160,We wander to loosen and cover all around them.,hate,"??? ???????? ????????, ?????? ???? ????????? ??????? ???????????."
HATE_1161,Varindayya Maha Pathivrata .... Anusuya means Niwalla booth ..... she says morals ...,hate,??????????? ??? ???????.... ????? ?????? ?????????? ????..... ??? ????????? ??????... ??..... ??????????? ????
HATE_1162,"Anasuya, what do you do in the Jabardast show, the Vedas! The original ashes started from your show.",hate,"Anasuya, ?????? ????????? ?? ?? ?????? ?????, ?????? ??????????????! ???? ?????? ?? ?? ????? ????? ????????. "
HATE_1163,Boothu Ki Care Of Address Ayina Anasuya Garu Boothu Gurinchi Maatlaaduthundhi ... wah wah!,hate,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi... wah wah!
HATE_1164,Video Super Ayya Editing Super Anthey,non-hate,Video super ayya editing super anthey 
HATE_1165,Edhi Matharam Jabardasth lo expose cheychu adult comedy cheyachu ari fikudhi,hate,Edhi matharam jabardasth lo expose cheychu adult comedy Cheyachu Ari fikudhi
HATE_1166,Assalu Monna Vachina Khiladi Cinima Lo Anusuya Matram Hot Hot Ga Ichi Padesindi..anthe,non-hate,Assalu monna vachina Khiladi cinima lo anusuya matram hot hot ga ichi padesindi..anthe
HATE_1167,"Bhuthulu Gurinchi, Double Meanings Gurinchi Nuv Matladodhu Anusuya Plz",hate,"Bhuthulu gurinchi, double meanings gurinchi nuv matladodhu anusuya plz"
HATE_1168,RGV Garu ...... This time Murthy Character in your movie .....,non-hate,RGV ???? ......????? ?????? ???? character ???????? ?? ?????? ??.....
HATE_1169,FAN wings are nearing the day of broken,hate,Fan ??????? ?????? ???? ????????? ????
HATE_1170,Meeku Ichindhi Mamulu Post Kadhu .... SVBC Chairman Ante Manchi Post ... Meeru Daani Missuse Chesukunnaru ... Jagan Gurinchi PK Gariinchi Kadhu ..... Meeru Avakaasamu Miss Chaesukunnaru ....,hate,Meeku ichindhi mamulu post kadhu....svbc chairman ante manchi post...meeru daani missuse chesukunnaru...jagan gurinchi pk gari gurinchi kadhu.....meeru avakaasamu miss use chesukunnaru....
HATE_1171,When will Jafa whale 420 groove say RIP,hate,????? ???????? 420 ?????? RiP ??????? ????????
HATE_1172,Pilichi Pettinchukuntaru Ga .... TV9 Ki Eemadhya Sarada Ayindi ...,hate,Pilichi pettinchukuntaru ga....TV9 ki eemadhya sarada ayindi...
HATE_1173,E tv 9 ki burra poyandhi,hate,E tv 9 ki burra poyandhi
HATE_1174,"Nagababu Selection Super, Gully Boys Adurs",non-hate,"??????? ???????? ?????, ????? ?????? ???????"
HATE_1175,Ã‘ela Oka 1hr Kuda Undalem Sir Jai RGV,non-hate,Ñeela oka 1hr kuda undalem sir jai rgv
