S.No,Comments,Label,
HATE_1032,"Harish Rao garu adiginatlu, Kaleswaram project pai, CBI inquiry veyali",non-hate,
HATE_1033,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate,
HATE_1034,Pavan Kalyan gari nayakatvam vardillali jai power star ,non-hate,
HATE_1035,Sagam kaalchina chutta peekalaku brand amsador,hate,
HATE_1036,Bjp central lo vachi yemi chesinru chepu,hate,
HATE_1037,PK navu janmmalo ward member kuda Kaledu,hate,
HATE_1038,Lancham antunaru anam garu...... inthaku mundu your government ilagey chesinda...,hate,
HATE_1039,Jagan eppatiki CM avvaledu raasi pettukoo....ha ....,hate,
HATE_1040,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate,
HATE_1041,Ka pal garu miru super,non-hate,
HATE_1042,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate,
HATE_1043,No 1 loafer. Jai TDP-Lokesh,hate,
HATE_1044,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,non-hate,
HATE_1045,Vammo mamulodivi kadu swamy Nuvvu,non-hate,
HATE_1046,Manalli yavadu ra apeddi,non-hate,
HATE_1047,Poraaa..Red Flower...,hate,
HATE_1048,He has more talking power Aina daivajanulato anta easy kadu mari,non-hate,
HATE_1049,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,non-hate,
HATE_1050,Idira pual power anty ippudina telusukondra,non-hate,
HATE_1051,Ramu garu correct  ga chepparu sir,non-hate,
HATE_1052,Nuvvu bjp b party ra houle,hate,
HATE_1053,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate,
HATE_1054,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate,
HATE_1055,tc rate penchadam kadu...udyamalu cheyakunda... employees kastapadithe development avutundi...,hate,
HATE_1056,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan thana cinema dabbulu pedhavallaki pancharu,non-hate,
HATE_1057,Aallu eellu andaru okkate,non-hate,
HATE_1058,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,non-hate,
HATE_1059,Miru kada ra janalni mosam chesedhi ,hate,
HATE_1060,NENUKUDA.PEDHAVADENE.UPADHE.LEDHU.VUDHYOGAM.LEDHU.PANULU.EKUVA.DHORUKADAMLEDHU,non-hate,
HATE_1061,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,hate,
HATE_1062,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate,
HATE_1063,Asalem matladuthunnavo neekanna ardham ayithundha ,hate,
HATE_1064,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate,
HATE_1065,America Agent Jelensky....deshanni nashanam chesthunnadu.,hate,
HATE_1066,Power Lo undi evaru ra vedava,hate,
HATE_1067,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,hate,
HATE_1068,Prajalu andaru sachinanka peekedemiledu,hate,
HATE_1069, amarica andatho madam perigi kotukuntundi urikine,hate,
HATE_1070,CHETTHAPLAN.  RAAKSHASHATHVAM,hate,
HATE_1071,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate,
HATE_1072,"India an Russia are best friendly countries evaru dislike chesaro vallu pak , america nd china ollu ",non-hate,
HATE_1073,Easy vochina success ni scam antarau.. Emi chepparu bhayya.. Love it,non-hate,
HATE_1074,Niyamtruthva leaders time konni rojule.,non-hate,
HATE_1075,"samsaram kadu, adi vebhicharam",hate,
HATE_1076,Nice baaga dhimpav Anchor bro.,hate,
HATE_1077,Mari aa sangathi thelisi antha madham yendhukura niku.... Vaaru garu antunnaav....gnanodhayamyndhi koddhiga....,hate,
HATE_1078,""" MAA"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ...yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi ..apdbaandhavudu ..andarivadu..annayya ..jai chiranjeevi..andariki mere """" GOD FATHER """"",hate,
HATE_1079,One and only Mega star .....Potthi leyru....Raleyru,non-hate,
HATE_1080,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate,
HATE_1081,"Chiranjeevi gaaru meeru eppudu greate mi manasu, mi saayam, mi kalmasham leni vyakthitwam, mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi",non-hate,
HATE_1082,Paul mosapoyadu....RGV ellipoyadu...anchor biskit ayadu gist of this non sense,hate,
HATE_1083,"Official ga 600 acres ante, unofficial GA enno, okko family member peru meedha enni ekaraalu unnayo.. Raitu bandhu okkati chalu,",hate,
HATE_1084,Real joker re unnadu kada malli sir ,hate,
HATE_1085,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,non-hate,
HATE_1086,Madyalo Aa sound effects matram next level.. ,non-hate,
HATE_1087,E endaku aa Godugu padutunnadu.....itlaanti vaadini ekkada unchalo akkada unchali...YCP vallu ade chesaru....,hate,
HATE_1088,Prudhvi sir very good man now.....sir thana thappu thelisikunnaru...,non-hate,
HATE_1089,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,hate,
HATE_1090,"Dear, ETV Variki , Dear, Gnapika Entertainment's Variki , Dear, Ali Gariki , Sir, Adivi Sesh Gariki , Madam, Saiee Manjrekar Gariki ",non-hate,
HATE_1091,Telugu lo sesh chala intelligent screenplay writer .. Chala talent vundhi manodiki,non-hate,
HATE_1092,"Ma kharma .. rastani palinche mantrulu malla Reddy,gangula,talasani meeku oka dandam ra babu",hate,
HATE_1093,Gudivada king true leader,non-hate,
HATE_1094,Elders ki respect lekunda matladina vaadu Oka hero...,hate,
HATE_1095,"Power loki vachaka prajala paina kallu petti thokkutharuu,",hate,
HATE_1096,Assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,hate,
HATE_1097,Miru chala great man. Simham munduku kukkalu ravu sir. Love you soo much.. Bratiki konnirojulaina ilane vundali.. Love you,non-hate,
HATE_1098,"Super sathi garu,mee action superb..chala enjoy chesthunnamu.",non-hate,
HATE_1099,Arey budder khan nuvvu asalu ,hate,
HATE_1100,Venki anna yekkada unna haa Joshi veru,non-hate,
HATE_1101,"Permit room lu enduku pettirru 
Thaginanka oka beer tho aguthara",hate,
HATE_1102,Kaveri jah kadu ra adi evarro kudo teliduuu jafa,hate,
HATE_1103,Wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,hate,
HATE_1104,Manchu Laxmi lo andam ekada kanipistunde raa babu .dabbu unte stone kuda diamond laga kanipistunde,hate,
HATE_1105,"Meru devudu anna,life long meru healthy ga undalani devudu ki pratistunna",non-hate,
HATE_1106,Samba shivudu great humanity person,non-hate,
HATE_1107,Wow ..real journalist mallanna gariki hattsoff...melaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna...,non-hate,
HATE_1108,konchem odd ga behave cheyadam kadandi.. .pitchandi edi..,hate,
HATE_1109,Eme thagi matladthundemo,hate,
HATE_1110,"Andhra lo Roads veyandi babu koncham. Accidents avthunnai, Vehicles anni damage avthunnai.. Krishna and West Godavari Roads aithey mari worst",hate,
HATE_1111,Youtube vedios konni follow ayyedhanni tharwatha BB house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer All the Best for your future Shanmukh 💐,non-hate,
HATE_1112,Prajala samasyala gurinchi okaru kuda matladaru kadha ..nice ...,hate,
HATE_1113,Ayithe life politician kavali ra Babu.,non-hate,
HATE_1114,Jagan paapam pande rojulu dhaggara paduthunnayi ; vasthunnayi vasthunnayi manchi rojulu vasthunnayi.,hate,
HATE_1115,"Idemi daridramu ra Anna ? Assalu bharincha leka potunnamu. Veellaku emaina buddhi gnanamu vunda? Vella IQ enta. Mott Amur family kalipi chusina, 100 daatadi emo.",hate,
HATE_1116,Adhikaram vunte thuglak gadu emaina chesasthadu,hate,
HATE_1117,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,hate,
HATE_1118,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate,
HATE_1119,Nijam ayyina reddlu tdp ki support ga undali,non-hate,
HATE_1120,Me Vally telagana Eroju Ela vundhi sir MA Andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,hate,
HATE_1121,Mata tadabada kunda clear ga ktr sir matalu super,non-hate,
HATE_1122,Telangana ki manchi rojulu vasthunai... ,non-hate,
HATE_1123,Big boss lo he felt lonely...a emotion lo siri ne hug cheskunadu..not with bad intention...hope Deepthi understands him..his smile nd eyes both r filled with pain...,non-hate,
HATE_1124,meru superr andhra gurchince koncham careing im haapy for that keep supporting,non-hate,
HATE_1125,Partial dharidrsm voddhu sir,hate,
HATE_1126,Okka party lo unte neevu correct.change aite ilane untundi,hate,
HATE_1127,Ravi teja.. the man behind those wonderful memes ..#Raviteja anna ki oka Oooooo...,non-hate,
HATE_1128,Ycp chappina matalu vinte mosapotaru jagrtta,hate,
HATE_1129,Vidipoyaru ana pain feel una navvuthunadu shannu,non-hate,
HATE_1130,"Ippudu ee vedio choostey, pichha comedy ga untundhi,,,comedy cheddam anukoni comedy aipoyava narsiredyyy,,,,yadaki poyavayyaa",hate,
HATE_1131,"Janame kurcho pettaru, mimmalni tharimi kottaru",hate,
HATE_1132,Ramcharan garu mari intha introvert ha devuda decent ga unnadu Fidha Ntr rajamouli suma garu next level super,non-hate,
HATE_1133,CBN maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,hate,
HATE_1134,Jokulu vesukoni navukunnaru... Eppudu andaru navutunnaru ..... Chusi.,non-hate,
HATE_1135,Vedu evavu overaction chesthunnadu child labour aa,hate,
HATE_1136,Pilla pu AAthulu,hate,
HATE_1137,velli allurjun madda guudu,hate,
HATE_1138,Super sir mee lanti vallu undali si,non-hate,
HATE_1139,Ah group lo nannu add chaindi mawa,non-hate,
HATE_1140,Super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,non-hate,
HATE_1141,Great sir me behavior ku na police vallu andharu me laga unte friendly policing,non-hate,
HATE_1142,Nibba ki phone istey ela untundi,hate,
HATE_1143,"Super ga vundhi drama commen people ni sir ani kuda antara o my god, this is team work guys.",non-hate,
HATE_1144,Nagavalli died because of this video,hate,
HATE_1145,Prank lu chesukuntunaru e police gallu.... Public ni mosam cheyadaniki,hate,
HATE_1146,Aatla vastai Anna niku enni telivi tetalu oka cinema thi anna,non-hate,
HATE_1147,Vera level sinking sir comedy super,non-hate,
HATE_1148,Police drama is this...janaalanu andhulo specially night time sir ani respect iche antha seen ledu...,hate,
HATE_1149,Okkokkadiki 9 months pregnancy vundhi police'laki,hate,
HATE_1150,Acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani  nice kipet up all the best you have a great future as an artist,non-hate,
HATE_1151,Anna nuvvu chavaku యిది చాలా అన్యయం.suspense అదిరిపోయింది.next episode వేగంగా pettanna.,hate,
HATE_1152,Ee movie kosam. Wait చేసేవాళ్ళు . ..like vesukondiii....,non-hate,
HATE_1153,ఈ పాట కన్న .. మీ మాటే బాగుంది.....,non-hate,
HATE_1154,"Character of the episode award goes to- ""1A master"" అంతే కధమ్మా రేయ్",non-hate,
HATE_1155,Hope that there is no ending in madhu character.. waiting for next episode in telugu with madhu again.. ... మధు పోకూడదమ్మారేయ్,non-hate,
HATE_1156,దేవి అడిగే ప్రశ్నలకు గట్టిగా దింపావూ గా (సమాధానాలు) విజయ్...,hate,
HATE_1157,విజయ్ ఇంత లాజికల్ ఆన్సర్స్ ఇస్తాడని అస్సలు expect చేయలే........గ్రేట్,non-hate,
HATE_1158,ఏర్రిపప్పా అవ్వడం కోసమే పుట్టిందే tv 9,hate,
HATE_1159,Tv9 ki dula thirchestadu rgv ,hate,
HATE_1160,"మనం విప్పుకు తిరుగుతూ, చుట్టూ ఉన్న వాళ్ళన్ని కప్పుకో మన్నట్టుంది.",hate,
HATE_1161,వచ్చిందయ్యా మహా పతివ్రత.... అనసూయ అంటేనే నిలువెల్లా బూతు..... ఈమె చెబుతుంది నీతులు... తూ..... సిగ్గుమాలిన జన్మ,hate,
HATE_1162,"Anasuya, నువ్వు జబర్దస్త్ షో లో చేసేవి ఏమిటి, వేదాలు వల్లిస్తున్నవా! అసలు బూతులు నీ షో నుండే మొదలు పెట్టారు. ",hate,
HATE_1163,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi... wah wah!,hate,
HATE_1164,Video super ayya editing super anthey ,non-hate,
HATE_1165,Edhi matharam jabardasth lo expose cheychu adult comedy Cheyachu Ari fikudhi,hate,
HATE_1166,Assalu monna vachina Khiladi cinima lo anusuya matram hot hot ga ichi padesindi..anthe,non-hate,
HATE_1167,"Bhuthulu gurinchi, double meanings gurinchi nuv matladodhu anusuya plz",hate,
HATE_1168,RGV గారు ......ఈసారి మూర్తి గారి character పెట్టండి మీ సినిమా లో.....,non-hate,
HATE_1169,Fan రెక్కలు విరిగే రోజు దగ్గరలోనే ఉంది,hate,
HATE_1170,Meeku ichindhi mamulu post kadhu....svbc chairman ante manchi post...meeru daani missuse chesukunnaru...jagan gurinchi pk gari gurinchi kadhu.....meeru avakaasamu miss use chesukunnaru....,hate,
HATE_1171,జఫ్ఫా తిమింగలం 420 గాడికి RiP ఎప్పుడు చెపుతారు,hate,
HATE_1172,Pilichi pettinchukuntaru ga....TV9 ki eemadhya sarada ayindi...,hate,
HATE_1173,E tv 9 ki burra poyandhi,hate,
HATE_1174,"నాగబాబు సెలక్షన్ సూపర్, గల్లీ బాయ్స్ అదుర్స్",non-hate,
HATE_1175,Ñeela oka 1hr kuda undalem sir jai rgv,non-hate,
HATE_1176,నీ judgement కరెక్ట్ గా ఉంటాది బ్రో,non-hate,
HATE_1177,Srikanth reddy కచ్చితంగా తప్పు. ఆ తప్పు చగురించి కళ్యాణి గారు చెప్పడం ఇంకా తప్పు,hate,
HATE_1178,nag sir said about natraj master is absolutely correct ఆడియన్స్ మాస్టర్ గురించి ఏమనుకుంటున్నారో అదే చెప్పారు... super nag sir,non-hate,
HATE_1179,"Akhil, Shiva good players.. చాలా బాగా ఆడుతున్నారు..i like Akhil and shiva",non-hate,
HATE_1180,Vedhavalu Vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa,hate,
HATE_1181,టీవీ ఫైవ్ ఎప్పుడు తప్పుడు ప్రచారమే,hate,
HATE_1182,Byredyy cheyppadu kada ra nenu party maredu ledu ani Mee moddalo gola yanti raa,hate,
HATE_1183,Vadu em matladuthunnado eanna artham aithe. Kanisam telugu translator ni pettukovachuga. Telugu bashaki respect ivvaru BJP vallu,hate,
HATE_1184,Anna nee comedy Expressions baguntai,non-hate,
HATE_1185,Bro ni slang ee neeku plus point ...... Manchi humour undi neelo.... Elane regular ga videos chestu undu .... 100k pakka...,non-hate,
HATE_1186,ఇప్పటికైనా ap ప్రజలు బుద్ధి తెచ్చుకోవాలి,hate,
HATE_1187,సిగ్గు లేకుండా తిరుగుతున్నారు ఎమ్ ఆబివుద్ది చేశారని తిరురుగుతున్నారు,hate,
HATE_1188,మళ్ళీ వైసీపీ గెలిస్తే ఆంధ్రప్రదేశ్ ప్రజలు అడుక్కు తినాలి నూటికి 200% ఇది నిజం,hate,
HATE_1189,"MLA ticket కోసం, పదవుల కోసమే ఈ గడప గడపకు ప్రభుత్వ యాత్ర, పాపం CM గారి హామీలకి వీళ్ళు బలి..",non-hate,
HATE_1190,"మెట్టు theskoni kottandi, okka jobs ledu, devlopmet ledu, asalu డబ్బులు veyydam votes kosam pedda scam idi",hate,
HATE_1191,మహేష్ బాబు ఈ రేంజ్ లో నవ్వడం ఇప్పటి వరకు ఇదే మొదటి సారి. Big thanks to Sathi anna.,non-hate,
HATE_1192,కొంచెంకూడ హీరో అనే పొగరు లేదు గ్రేట్ సార్ మీరు,non-hate,
HATE_1193,"AVATAR ఒక అద్భుత ప్రపంచం. దీని డైరెక్టర్ James Cameron అంతకన్నా అద్భుతం. ఆయన ideas కి, creativity కి",non-hate,
HATE_1194,ఉమ అన్న అంటే కడుపు మంట కేవలం వెస్ట్ candate వి నువ్వు,hate,
HATE_1195,Dīnam'ma jīvitaṁ..... Okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa.....,hate,
HATE_1196,"మీరు కూల్ గా వీడియోస్ చెసుకొండి
ఇ టెంక్సన్స్ వదిలేయండి",hate,
HATE_1197,Ravi అన్న అన్నది నిజమే అని ఈపాటికే నటరాజ్ మాస్టర్ కి అర్థమైపోయింది...నటరాజ్ మాస్టర్ ఇప్పటికైనా మనిషి గ మారండి...,hate,
HATE_1198,ఇంద్రజ గారి ఫాన్స్ ప్రోమోలో ఇంద్రజ గారు సూపర్బ్ టైమింగ్ ,non-hate,
HATE_1199,Ravi prakash vunnappudu. Chaala mandhi House lloki. Veylli. Vaalla bed rooms varaku Veyllaru. Chaala mandhi. Jevitaalato. TV9 lanja channel Ani. Chaala mandhi. Cheypparu,hate,
HATE_1200,Matter divert chestundii ame ra hamara Prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,hate,
HATE_1201,​BJP lo seat kosam baga chesav le stunt,hate,
HATE_1202,RGV చెప్పేది చాలా కరెక్ట్ గా ఉంది,non-hate,
HATE_1203,ప్రతి ఒక ఇంటర్వ్యూ లో చాలా కూల్ గా మాట్లాడతారు. నిజాలు నిర్భయంగా చెబుతాడు. ఎవడన్నా ఏమన్నా అనుకొని నేను చెప్పేది చెప్తా అనుకునే వ్యక్తి RGV...,non-hate,
HATE_1204,"Theatre kellina badhitula ga ma badhalu panchukunnam anthe. Boothulu tittadam, family ni involve cheyadam ee panchayati lu oddu amma. Happy ga undandi",hate,
HATE_1205,Annnaaaaa...... Ekkadikellav anna innirojulu.. Pandemic time lo ni postmortem videos tho na stress antha pogattav especially with Saleem review...,non-hate,
HATE_1206,arey tv9 nuv పెట్టిన పోల్ కి ఏమైనా సంబంధం ఉందా రా,hate,
HATE_1207,సంయుక్త గారి యక్కటింగ్ సూపర్  సినిమా సూపర్ ,non-hate,
HATE_1208,Ippudu nuvvu cheppindi yem pikutanani news chesataru,hate,
HATE_1209,Ni thumbnail jathini thenga,hate,
HATE_1210,Puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai. Meetho bagu paddollu mimmalni marchipoyi undicchu sir. But memu kadu. Love you sir. E movie tho Vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,non-hate,
HATE_1211,Puri raasina dialogues mahesh chepthea excellent ga set avthai,non-hate,
HATE_1212,Endhukura ayya pichi pichi thumbnails pedtharu???,hate,
HATE_1213,u don't worry bro aa kalyani ki dhula Patti idhantha chesthundhi,hate,
HATE_1214,"​baga chepparu..maha news is waste news..only bjp ki, tdp ki support vallu",hate,
HATE_1215,​pora howley,hate,
HATE_1216,కరెక్ట్ గా మాట్లాడుతున్నావ్ రా శ్రీకాంత్,non-hate,
HATE_1217,"jai kumar next nee amma nee ,sisters nee andharni petti prank thesthadu vadu wait",hate,
HATE_1218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate,
HATE_1219,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,hate,
HATE_1220,​gayathri medam super cheppinav good,non-hate,
HATE_1221,Open Heart with RK కి తెలంగాణ గవర్నర్ తమిళ సై గారు రావడం చాలా ఆనందంగా ఉంది వేటింగ్ ఫర్ ఎపిసోడ్,non-hate,
HATE_1222,రాధాకృష్ణ గారు చాలా సంవత్సరాల తర్వాత మీరు సంతోషంగా కనిపించారు శుభాభినందనలు మీకు గౌరవ గవర్నర్ మేడంగారు నవ్వుతూనే నిప్పులు చెరిగారు,non-hate,
HATE_1223,చాలా ఈజీగా మాట్లాడటం బాగుంది her excelency గవర్నర్ madam,non-hate,
HATE_1224,Meeku governer post ivvadame waste,hate,
HATE_1225,"Meru enni kathalu padda kcr 100% next cm of telangana, cheap interviews with cheap abn rada krishna",hate,
HATE_1226,Asal mamulga ledu ...thop... awesome,non-hate,
HATE_1227,ah lobo ni marchandi ra babu,hate,
HATE_1228,నా జీవితం లో చూసిన అద్భుతమైన వీడియో ఇదే,non-hate,
HATE_1229,Ending naku tears vachai  bro. Harsh sai real hero. God bless u brother.,non-hate,
HATE_1230,Intentionally geliki emina serious ite news chedamani...,hate,
HATE_1231,social media Parma chetha media valu asalu vishayalu telsikounda matladam Manchi Kadu,hate,
HATE_1232,news valu pen undani rayatam manchidi Kadu,hate,
HATE_1233,Evadentha echaru neeku dabbulu bewerse yadavalraa,hate,
HATE_1234,ఈడు కామెడీ కి తక్కువ ... అడ్డగోలు వాగుడుకి ఎక్కువ... బేవకూఫ్ ఎడవ,hate,
HATE_1235,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,hate,
HATE_1236,"Over confidant ithe alage untadi,,,, super ga cheppi silent chesinav Suma akka,,,",hate,
HATE_1237,Suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,non-hate,
HATE_1238,"అలీ siggundali నీకు, sanskaram లేదు నీకు, నవ్వుతూ ఉన్న so called celebrities ki నవ్వు ఎలా వస్తుందో",hate,
HATE_1239,Dayachesi. Ali ki anchoring ivvakandi,hate,
HATE_1240,Suma Akka u r super ni pakkana adu enduku chandalam ga,hate,
HATE_1241,Ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu MLA ayyi emi peekutav,hate,
HATE_1242,Ali double meaning gadu..cheppu debba padali,hate,
HATE_1243,Ali mi wife Kerala vellara Ani adigithe niku ela untundhi????  Thappura nayana ala matladatam,hate,
HATE_1244,"Vaadiki baagaa balsindhi.mind dobbinattundhi,kodikki.",hate,
HATE_1245,Nuv politics loki vellali anukutunnavemo.. Ila matladithe ninnu address lekunda kodatharu prajalu,hate,
HATE_1246,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide. Dayachesi vadiki public lo mike ivvakandi.,hate,
HATE_1247,Waste gaadu ali,hate,
HATE_1248,Suma gurinchi evvaru cheppanakkarledu . Tanante maaku Chala istam.,non-hate,
HATE_1249,Deneke paneameladau. Vadeke paneameladu.neku.paneameladu. Raa,hate,
HATE_1250,Climax chala bagundhi lot's of fun enjoyed a lot,non-hate,
HATE_1251,చాలా బాగుంది బ్రో. చిన్నపుడు ఇవి అన్ని మేము చేసాము బ్రో చాలా హ్యాపీ గా ఉంది ఈ సిరీస్ చూస్తుంటే. Best of luck bro.,non-hate,
HATE_1252,Ee Series Mana FilmyMoji Channel Lo Best Series avalani Korukuntuna,non-hate,
HATE_1253,Fun moji కంటే  filmy moji  లో comedy చాలా బాగుంటుంది,non-hate,
HATE_1254,గ్రేట్ women,non-hate,
HATE_1255,Yenta spastanga ame voice undo chudandi...,non-hate,
HATE_1256,Waste fellow in tollywood,hate,
HATE_1257,రచ్చ లేపే స్పీచ్ చెప్పాలంటే బండ్ల గణేష్ అన్న తర్వాతే ఎవరైనా,non-hate,
HATE_1258,నిజమే పవన్ కళ్యాణ్ అంటే ఒక వెసనం.. చచ్చినా వదల్లేము,non-hate,
HATE_1259,Nenu chusina all speech lo ekkuva sarlu chusanu,non-hate,
HATE_1260,ఎన్ని సార్లు చూసిన చూడాలని అనిపించే speech,non-hate,
HATE_1261,42సార్లు చూశానూ అయిన బోరు కొట్ట లేదు,non-hate,
HATE_1262,Na friend valla papa ki operation ite Aravind gari foundation help chesindi. He is really doing a commendable job,non-hate,
HATE_1263,Tokka kooda oppukonu,hate,
HATE_1264,"Telangana lo bjp vastene...ee trs aarachakaalu tagguthai, police la ni venta pettukoni motham Telangana ni nashanam chestunnaru",hate,
HATE_1265,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame. Next election ki same place nunchi Poti chesi deposit techukunte chalu.,hate,
HATE_1266,"Roja garu ituvanti baddu, biraagilanu interview , mee dignity thagguthadi, ituvanti vaaru samaajaniki cheeda purugulu",hate,
HATE_1267,Rajyanganni marustham ante matram thaggedele,non-hate,
HATE_1268,Arey howle Nizamabad MP Pasupu bord Edhi be Nv esukunna Angi lagu kudha Cangress icchindhe and TELANGANA icchindhi kuda Cangress A meeru cheppe Digital India lo ni AAdhar card kuda Cangress tecchindhe,hate,
HATE_1269,"Chi chi neeku anchoring evadu nerponchondo....farmers ni arrest chesinaru ante...safety ki antava,intha dikkumaalina answer emina vuntada asalu,ante anyayam jarigindi Ani chepte arrest lu chestaru,ala arrest cheyyadam correct antava nv",hate,
HATE_1270,Waste fellow he did nothing for telengana,hate,
HATE_1271,Gundu Babu esari neku gundu sunna vasthundi no winnings,hate,
HATE_1272,"మీ ఎనాలిసిస్ ...వెరీ ఇంట్రెస్టింగ్, రియల్. we listen meticulously. we appreciate you",non-hate,
